Zilele 1 - 3
Meniu vegetarian
Supa / Ciorba;Ciorba de varza;Ciorba de fasole;Ciorba de varza
Fel principal;Paste cu sos de avocado;Paste cu branza de vaci si legume inabusite;Tocanita de ciuperci
Desert;Briose cu fructe uscate;Tiramisu cu fructe;Cheesecake cu zmeura
Meniu flexitarian
Supa / Ciorba;Supa cu ciuperci, cartofi si ton;Ciorba de fasole;Supa de legume cu fidea
Fel principal;Somon cu bulgur in sos Teriyaki;Falafel la cuptor cu hummus;Salata cu paste, legume si ton
Desert;Prajitura cu banane;Tort de biscuiti;Briose cu morcov
Meniu apti sa manance orice
Supa / Ciorba;Mancare de mazare;Ciorba de perisoare;Ciorba de pui
Fel principal;Pui cu sos cremos de spanac si lamaie;Paste cu sos de avocado;Pulpe de pui la cuptor
Desert;Chec;Prajitura cu banane;Tort de biscuiti
Zilele 4 - 6
Meniu vegetarian
Supa / Ciorba;Supa cu dovleac;Supa cu dovleac;Supa-crema de legume cu crutoane
Fel principal;Tocanita de ciuperci;Paste cu zucchini;Paste cu branza de vaci si legume inabusite
Desert;Prajitura cu zmeura;Placinta cu mere;Mousse cu ciocolata
Meniu flexitarian
Supa / Ciorba;Supa-crema cu fasole si cartof dulce;Ciorba de varza;Supa cu telina si broccoli
Fel principal;Orez cu spanac, oua si branza de capra;Tocanita de ciuperci;Paste cu sos de avocado si ton
Desert;Prajitura cu zmeura;Chec;Prajitura cu branza de vaci
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de perisoare;Supa-crema de legume cu crutoane;Ciorba de pui
Fel principal;Piure de morcovi cu ardei copti;Ficatei de pui;Sufle de legume
Desert;Cheesecake cu zmeura;Tort de biscuiti;Placinta cu mere
Zilele 7 - 9
Meniu vegetarian
Supa / Ciorba;Ciorba de varza;Supa-crema de legume cu crutoane;Supa cu morcov, mazare si gnocchi din naut
Fel principal;Vinete umplute;Risotto cu zucchini;Piure de morcovi cu ardei copti
Desert;Prajitura cu banane;Briose cu fructe uscate;Prajitura cu merisoare
Meniu flexitarian
Supa / Ciorba;Supa cu telina si broccoli;Supa cu telina si broccoli;Supa-crema cu fasole si cartof dulce
Fel principal;Orez cu ton si porumb;Vinete umplute;Piure de cartofi
Desert;Prajitura cu zmeura;Prajitura cu zmeura;Briose cu fructe uscate
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de pui;Supa-crema de legume cu crutoane;Ciorba de pui
Fel principal;;;Ceafa de porc cu legume la cuptor
Desert;Prajitura cu zmeura;Cheesecake cu zmeura;Prajitura cu merisoare
Zilele 10 - 12
Meniu vegetarian
Supa / Ciorba;Supa de legume cu fidea;Supa de legume cu fidea;Supa cu dovleac
Fel principal;Sufle de legume;Salata cu rucola si avocado;Fasole batuta
Desert;Briose cu morcov;Prajitura cu banane;Prajitura cu zmeura
Meniu flexitarian
Supa / Ciorba;Supa-crema cu fasole si cartof dulce;Supa de legume cu fidea;Supa cu ciuperci, cartofi si ton
Fel principal;Sufle de legume;Tort sarat cu spanac si somon;Paste cu branza de vaci si legume inabusite
Desert;Clatite cu dulceata;Tiramisu cu fructe;Cheesecake cu zmeura
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de perisoare;Ciorba de porc;Supa-crema de legume cu crutoane
Fel principal;Ceafa de porc cu legume la cuptor;Pulpe de pui la cuptor;Piure de morcovi cu ardei copti
Desert;Clatite cu dulceata;Placinta cu mere;Budinca cu orez, lapte, vanilie si mango
Zilele 13 - 15
Meniu vegetarian
Supa / Ciorba;Ciorba de varza;Ciorba de varza;Supa de legume cu fidea
Fel principal;Piure de cartofi;Fasole batuta;Falafel la cuptor cu hummus
Desert;Cheesecake cu zmeura;Briose cu fructe uscate;Tort de biscuiti
Meniu flexitarian
Supa / Ciorba;Supa cu ciuperci, cartofi si ton;Mancare de mazare;Ciorba de fasole
Fel principal;Hrisca cu spanac, ciuperci, branza si ton;Paste cu zucchini si ton;Orez cu spanac, oua si branza de capra
Desert;Prajitura cu zmeura;Prajitura cu banane;Tort de biscuiti
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de porc;Ciorba de porc;Ciorba de varza
Fel principal;Fasole batuta;Chiftelute marinate;
Desert;Tiramisu cu fructe;Budinca cu orez, lapte, vanilie si mango;Prajitura cu merisoare
Zilele 16 - 18
Meniu vegetarian
Supa / Ciorba;Supa-crema de legume cu crutoane;Supa-crema de legume cu crutoane;Ciorba de fasole
Fel principal;Orez cu spanac, oua si branza de capra;Risotto cu zucchini;Paste cu sos de avocado
Desert;Prajitura cu merisoare;Tiramisu cu fructe;Prajitura cu zmeura
Meniu flexitarian
Supa / Ciorba;Ciorba de fasole;Ciorba de fasole;Ciorba de fasole
Fel principal;Tofu cu branza, cuscus si ton;Tofu cu branza, cuscus si ton;Sufle de legume
Desert;Tort de biscuiti;Mousse cu ciocolata;Tort de biscuiti
Meniu apti sa manance orice
Supa / Ciorba;Supa-crema de legume cu crutoane;Supa-crema de legume cu crutoane;Ciorba de varza
Fel principal;Vinete umplute;Sufle de legume;Ceafa de porc cu legume la cuptor
Desert;Prajitura cu banane;Cheesecake cu zmeura;Cheesecake cu zmeura
Zilele 19 - 21
Meniu vegetarian
Supa / Ciorba;Supa de legume cu fidea;Ciorba de fasole;Supa-crema de legume cu crutoane
Fel principal;Paste cu zucchini;Paste cu zucchini;Paste cu sos cremos de busuioc
Desert;Prajitura cu merisoare;Prajitura cu merisoare;Clatite cu dulceata
Meniu flexitarian
Supa / Ciorba;Ciorba de varza;Ciorba de varza;Supa cu telina si broccoli
Fel principal;Tort sarat cu spanac si somon;Drob cu ton;Tort sarat cu spanac si somon
Desert;Tort de biscuiti;Tort de biscuiti;Cheesecake cu cirese
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de porc;Ciorba de vacuta;Supa de legume cu fidea
Fel principal;Sufle de legume;Sufle de legume;
Desert;Briose cu fructe uscate;Cheesecake cu cirese;Clatite cu dulceata
Zilele 22 - 24
Meniu vegetarian
Supa / Ciorba;Supa cu telina si broccoli;Supa-crema de legume cu crutoane;Supa-crema cu fasole si cartof dulce
Fel principal;Paste cu sos de avocado;Tocanita de ciuperci;Fasole batuta
Desert;Briose cu morcov;Prajitura cu branza de vaci;Prajitura cu banane
Meniu flexitarian
Supa / Ciorba;Supa de legume cu fidea;Ciorba de varza;Supa-crema de legume cu crutoane
Fel principal;Somon fript cu cipsuri din legume si sos de iaurt cu usturoi;Drob cu ton;Hrisca cu spanac, ciuperci, branza si ton
Desert;Briose cu fructe uscate;Budinca cu orez, lapte, vanilie si mango;Budinca cu orez, lapte, vanilie si mango
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de perisoare;Ciorba de pui;Ciorba de fasole
Fel principal;Sufle de legume;Paste cu sos cremos de busuioc;Tocanita cu ciuperci
Desert;Prajitura cu branza de vaci;Briose cu fructe uscate;Prajitura cu merisoare
Zilele 25 - 27
Meniu vegetarian
Supa / Ciorba;Supa-crema cu fasole si cartof dulce;Supa-crema de legume cu crutoane;Supa-crema cu fasole si cartof dulce
Fel principal;Piure de morcovi cu ardei copti;Paste cu sos cremos de busuioc;Paste cu sos de avocado
Desert;Placinta cu mere;Prajitura cu branza de vaci;Placinta cu mere
Meniu flexitarian
Supa / Ciorba;Supa-crema de legume cu crutoane;Ciorba de varza;Supa cu ciuperci, cartofi si ton
Fel principal;Paste cu sos cremos de busuioc;Paste cu sos de avocado si ton;Somon cu bulgur in sos Teriyaki
Desert;Mousse cu ciocolata;Clatite cu dulceata;Tiramisu cu fructe
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de porc;Ciorba de pui;Ciorba taraneasca de pui
Fel principal;;;Fasole batuta
Desert;Cheesecake cu zmeura;Prajitura cu banane;Tort de biscuiti
Zilele 28 - 30
Meniu vegetarian
Supa / Ciorba;Supa-crema cu fasole si cartof dulce;Supa cu telina si broccoli;Mancare de mazare
Fel principal;Risotto cu zucchini;Sufle de legume;Fasole batuta
Desert;Briose cu fructe uscate;Budinca cu orez, lapte, vanilie si mango;Tort de biscuiti
Meniu flexitarian
Supa / Ciorba;Supa cu telina si broccoli;Mancare de mazare;Ciorba de fasole
Fel principal;Falafel la cuptor cu hummus;Piure de morcovi cu ardei copti;Paste cu zucchini si ton
Desert;Cheesecake cu cirese;Prajitura cu branza de vaci;Chec
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de perisoare;Ciorba de porc;Ciorba de vacuta
Fel principal;Paste cu branza de vaci si legume inabusite;Piure de morcovi cu ardei copti;
Desert;Briose cu fructe uscate;Tiramisu cu fructe;Briose cu morcov
Zilele 31 - 33
Meniu vegetarian
Supa / Ciorba;Supa-crema cu fasole si cartof dulce;Supa de legume cu fidea;Mancare de mazare
Fel principal;Sufle de legume;Fasole batuta;Fasole batuta
Desert;Budinca cu orez, lapte, vanilie si mango;Tort de biscuiti;Placinta cu mere
Meniu flexitarian
Supa / Ciorba;Supa cu ciuperci, cartofi si ton;Ciorba de varza;Supa de legume cu fidea
Fel principal;Salata cu paste, legume si ton;Orez cu patrunzel, limeta si ton;Piure de cartofi
Desert;Tort de biscuiti;Cheesecake cu cirese;Budinca cu orez, lapte, vanilie si mango
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de porc;Ciorba de perisoare;Ciorba de fasole
Fel principal;Pulpe de pui la cuptor;Fasole batuta;Ceafa de porc cu legume la cuptor
Desert;Tiramisu cu fructe;Placinta cu mere;Tiramisu cu fructe
Zilele 34 - 36
Meniu vegetarian
Supa / Ciorba;Supa-crema de legume cu crutoane;Ciorba de fasole;Supa-crema cu fasole si cartof dulce
Fel principal;Salata cu rucola si avocado;Piure de cartofi;Falafel la cuptor cu hummus
Desert;Cheesecake cu cirese;Chec;Tiramisu cu fructe
Meniu flexitarian
Supa / Ciorba;Supa cu telina si broccoli;Ciorba de varza;Supa-crema cu fasole si cartof dulce
Fel principal;Drob cu ton;Orez cu patrunzel, limeta si ton;Paste cu sos de avocado si ton
Desert;Prajitura cu merisoare;Budinca cu orez, lapte, vanilie si mango;Briose cu fructe uscate
Meniu apti sa manance orice
Supa / Ciorba;Ciorba taraneasca de pui;Ciorba de fasole;Ciorba de perisoare
Fel principal;Ficatei de pui;Vinete umplute;
Desert;Mousse cu ciocolata;Placinta cu mere;Briose cu fructe uscate
Zilele 37 - 39
Meniu vegetarian
Supa / Ciorba;Supa cu morcov, mazare si gnocchi din naut;Supa cu telina si broccoli;Ciorba de varza
Fel principal;Piure de morcovi cu ardei copti;Risotto cu zucchini;Sufle de legume
Desert;Briose cu fructe uscate;Briose cu morcov;Prajitura cu banane
Meniu flexitarian
Supa / Ciorba;Mancare de mazare;Supa-crema de legume cu crutoane;Supa cu telina si broccoli
Fel principal;Orez cu patrunzel, limeta si ton;Vinete umplute;Salata cu rucola si avocado
Desert;Prajitura cu banane;Clatite cu dulceata;Cheesecake cu zmeura
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de porc;Ciorba de vacuta;Ciorba taraneasca de pui
Fel principal;;Ceafa de porc cu legume la cuptor;
Desert;Briose cu fructe uscate;Cheesecake cu cirese;Prajitura cu banane
Zilele 40 - 42
Meniu vegetarian
Supa / Ciorba;Supa cu telina si broccoli;Supa de legume cu fidea;Ciorba de varza
Fel principal;Fasole batuta;Risotto cu zucchini;Risotto cu zucchini
Desert;Cheesecake cu zmeura;Budinca cu orez, lapte, vanilie si mango;Briose cu morcov
Meniu flexitarian
Supa / Ciorba;Ciorba de varza;Mancare de mazare;Supa cu ciuperci, cartofi si ton
Fel principal;Paste cu sos cremos de busuioc;Piure de morcovi cu ardei copti;Paste cu branza de vaci si legume inabusite
Desert;Prajitura cu banane;Cheesecake cu zmeura;Briose cu morcov
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de vacuta;Mancare de mazare;Ciorba de perisoare
Fel principal;Fasole batuta;Chiftelute marinate;Paste cu branza de vaci si legume inabusite
Desert;Prajitura cu merisoare;Prajitura cu zmeura;Clatite cu dulceata
Zilele 43 - 45
Meniu vegetarian
Supa / Ciorba;Supa cu dovleac;Supa-crema cu fasole si cartof dulce;Supa-crema de legume cu crutoane
Fel principal;Risotto cu zucchini;Piure de morcovi cu ardei copti;Orez cu spanac, oua si branza de capra
Desert;Budinca cu orez, lapte, vanilie si mango;Prajitura cu zmeura;Placinta cu mere
Meniu flexitarian
Supa / Ciorba;Ciorba de varza;Ciorba de varza;Ciorba de varza
Fel principal;Salata cu paste, legume si ton;Risotto cu zucchini si ton;Paste cu branza de vaci si legume inabusite
Desert;Prajitura cu merisoare;Placinta cu mere;Mousse cu ciocolata
Meniu apti sa manance orice
Supa / Ciorba;Ciorba de perisoare;Supa-crema de legume cu crutoane;Ciorba de vacuta
Fel principal;Rulada de pui/curcan;Chiftelute marinate;
Desert;Cheesecake cu cirese;Placinta cu mere;Briose cu fructe uscate
Zilele 46 - 48
Meniu vegetarian
Supa / Ciorba;Supa-crema de legume cu crutoane;Ciorba de varza;Mancare de mazare
Fel principal;Paste cu branza de vaci si legume inabusite;Orez cu spanac, oua si branza de capra;Vinete umplute
