
Costuri pe 30 zile (in lei);
Transport;215840;
Cazare;4474120;
Machiaj;48128640;
Mancare si apa;1080306;
Inchiriere spatiu;294040;

Costuri pe 45 zile (in lei);
Transport;215840;
Cazare;6788320;
Machiaj;106628760;
Mancare si apa;1609929;
Inchiriere spatiu;434260;

Costuri pe 60 zile (in lei);
Transport;215840;
Cazare;9102520;
Machiaj;190663920;
Mancare si apa;2152032;
Inchiriere spatiu;570740;

Costuri pe 100 zile (in lei);
Transport;215840;
Cazare;15273720;
Machiaj;528521200;
Mancare si apa;3584120;
Inchiriere spatiu;914450;
