
Costs for 30 days (in $);
Transport;47484.8$;
Housing;984306$;
Make up;10588301$;
Food and water;237667$;
Space renting;64688$;

Costs for 45 days (in $);
Transport;47484.8$;
Housing;1493430$;
Make up;23458328$;
Food and water;354184$;
Space renting;95537$;

Costs for 60 days (in $);
Transport;47484.8$;
Housing;2002554$;
Make up;41946064$;
Food and water;473447$;
Space renting;125562$;

Costs for 100 days (in $);
Transport;47484.8$;
Housing;3360218$;
Make up;116274664$;
Food and water;788506$;
Space renting;201179$;
